0;1;2
Chipset Not Found;Rockchip RK3399;Acer Chromebook Tab 10
Chipset Not Found;Mediatek MT8163A;Acer Iconia Tab 10 A3-A40
Chipset Not Found;Qualcomm MSM8992 Snapdragon 808 (20 nm);Acer Liquid Jade 2
Chipset Not Found;Intel Atom x7-Z8700;Acer Predator 8
Chipset Not Found;Qualcomm MSM8992 Snapdragon 808 (20 nm);Acer Liquid Jade Primo
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);Acer Liquid Z330
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);Acer Liquid Z320
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);Acer Liquid M330
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);Acer Liquid M320
Chipset Not Found;Qualcomm Snapdragon 200 (28 nm);Acer Liquid Z220
Chipset Not Found;Qualcomm MSM8210 Snapdragon 200 (28 nm);Acer Liquid M220
Chipset Not Found;Qualcomm MSM8926 Snapdragon 400 (28 nm);Acer Liquid E600
Chipset Not Found;Mediatek MT8111;Acer Iconia B1-720
Chipset Not Found;Qualcomm MSM8974 Snapdragon 800 (28 nm);Acer Liquid S2
Chipset Not Found;Nvidia Tegra 2 T20;Acer Iconia Tab A200
Chipset Not Found;Nvidia Tegra 2 T20;Acer Iconia Tab A501
Chipset Not Found;Nvidia Tegra 2 T20;Acer Iconia Tab A500
Chipset Not Found;Nvidia Tegra 2 T20;Acer Iconia Tab A101
Chipset Not Found;Nvidia Tegra 2 T20;Acer Iconia Tab A100
Chipset Not Found;Qualcomm MSM7227-1 Snapdragon S1;Acer Liquid mini E310
Chipset Not Found;Qualcomm MSM7230;Acer Liquid mt
Chipset Not Found;ST Ericsson PNX6715;Acer beTouch E130
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);alcatel 1B (2022)
Chipset Not Found;Mediatek MT6762D Helio P22 (12 nm);alcatel 3L (2021)
Chipset Not Found;Mediatek MT6762D Helio P22 (12 nm);alcatel 1S (2021)
Chipset Not Found;Mediatek MT6761D Helio A20 (12 nm);alcatel 1L (2021)
Chipset Not Found;Mediatek MT6761 Helio A22 (12 nm);alcatel 1V (2021)
Chipset Not Found;QM215 Snapdragon 215 (28 nm);alcatel Go Flip 4
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);alcatel Go Flip 3
Chipset Not Found;Qualcomm MSM8909 Snapdragon 210 (28 nm);alcatel Go Flip V
Chipset Not Found;Mediatek MT6762 Helio P22 (12 nm);alcatel 3X (2020)
