,0,1,2
0,64 Bit,64 Bit support,Mediatek MT8735
1,Architecture,ARM,Mediatek MT8735
2,64 Bit,64 Bit support,Mediatek MT6753 (28 nm)
3,Architecture,ARM,Mediatek MT6753 (28 nm)
4,64 Bit,64 Bit support,Mediatek MT6737 (28 nm)
5,Architecture,ARM,Mediatek MT6737 (28 nm)
6,64 Bit,64 Bit support,Mediatek MT6753 (28 nm)
7,Architecture,ARM,Mediatek MT6753 (28 nm)
8,64 Bit,64 Bit support,Mediatek MT6735 (28 nm)
9,Architecture,ARM,Mediatek MT6735 (28 nm)
10,64 Bit,64 Bit support,Mediatek MT6580 - Z525Mediatek MT6735 - Z525
11,Architecture,ARM,Mediatek MT6580 - Z525Mediatek MT6735 - Z525
12,64 Bit,64 Bit support,Mediatek MT6753 (28 nm)
13,Architecture,ARM,Mediatek MT6753 (28 nm)
14,64 Bit,64 Bit support,Mediatek MT6735 (28 nm)
15,Architecture,ARM,Mediatek MT6735 (28 nm)
16,64 Bit,64 Bit support,Mediatek MT6753 (28 nm)
17,Architecture,ARM,Mediatek MT6753 (28 nm)
18,64 Bit,64 Bit support,Mediatek MT6735 (28 nm)
19,Architecture,ARM,Mediatek MT6735 (28 nm)
20,64 Bit,64 Bit support,Intel Atom Z3735F
21,Architecture,x86,Intel Atom Z3735F
22,64 Bit,64 Bit support,Intel Atom Z3735G
23,Architecture,x86,Intel Atom Z3735G
24,Architecture,ARM,Mediatek MT8127 (28 nm)
25,Architecture,ARM,Mediatek MT8127 (28 nm)
26,64 Bit,64 Bit support,Mediatek MT6732 (28 nm)
27,Architecture,ARM,Mediatek MT6732 (28 nm)
28,Architecture,ARM,Mediatek MT6582M (28 nm)
29,Architecture,ARM,Mediatek MT6582M (28 nm)
30,64 Bit,64 Bit support,Mediatek MT6732M (28 nm)
31,Architecture,ARM,Mediatek MT6732M (28 nm)
32,64 Bit,64 Bit support,Mediatek MT6752M
33,Architecture,ARM,Mediatek MT6752M
34,Architecture,ARM,Mediatek MT6582 (28 nm)
35,Architecture,ARM,Mediatek MT6592 (28 nm)
36,Architecture,ARM,Mediatek MT6582 (28 nm)
37,Architecture,ARM,Mediatek MT6582 (28 nm)
38,Architecture,ARM,Mediatek MT6572M (28 nm)
39,64 Bit,64 Bit support,Intel Atom Z3745
40,Architecture,x86,Intel Atom Z3745
41,64 Bit,64 Bit support,Intel Atom Z3745
42,Architecture,x86,Intel Atom Z3745
43,Architecture,x86,Intel Atom Z2560
44,Architecture,ARM,Mediatek MT6589 (28 nm)
45,Architecture,ARM,Mediatek MT6589 (28 nm)
46,Architecture,ARM,Mediatek MT6572 (28 nm)
47,Architecture,ARM,Mediatek MT8312 (28 nm)
48,Architecture,x86,Intel Atom Z2560
49,Architecture,ARM,Mediatek MT6572 (28 nm)
50,Architecture,ARM,Mediatek MT6572 (28 nm)
51,Architecture,ARM,Mediatek MT6589 (28 nm)
52,Architecture,ARM,Mediatek MT8125T - Wi-FiMediatek MT8389W - 3G
53,Architecture,ARM,Mediatek MT8125T - Wi-FiMediatek MT8389W - 3G
54,Architecture,ARM,Mediatek MT8389W
55,Architecture,ARM,Mediatek MT8125 (28 nm)
56,Architecture,ARM,Mediatek MT6589 (28 nm)
